File_name,Folder_name,File_path
2208.jpg,dew,./dataset/dew/2208.jpg
2209.jpg,dew,./dataset/dew/2209.jpg
2210.jpg,dew,./dataset/dew/2210.jpg
2211.jpg,dew,./dataset/dew/2211.jpg
2212.jpg,dew,./dataset/dew/2212.jpg
2213.jpg,dew,./dataset/dew/2213.jpg
2214.jpg,dew,./dataset/dew/2214.jpg
2215.jpg,dew,./dataset/dew/2215.jpg
2216.jpg,dew,./dataset/dew/2216.jpg
2217.jpg,dew,./dataset/dew/2217.jpg
2218.jpg,dew,./dataset/dew/2218.jpg
2219.jpg,dew,./dataset/dew/2219.jpg
2220.jpg,dew,./dataset/dew/2220.jpg
2221.jpg,dew,./dataset/dew/2221.jpg
2222.jpg,dew,./dataset/dew/2222.jpg
2223.jpg,dew,./dataset/dew/2223.jpg
2224.jpg,dew,./dataset/dew/2224.jpg
2225.jpg,dew,./dataset/dew/2225.jpg
2226.jpg,dew,./dataset/dew/2226.jpg
2227.jpg,dew,./dataset/dew/2227.jpg
2228.jpg,dew,./dataset/dew/2228.jpg
2229.jpg,dew,./dataset/dew/2229.jpg
2230.jpg,dew,./dataset/dew/2230.jpg
2231.jpg,dew,./dataset/dew/2231.jpg
2232.jpg,dew,./dataset/dew/2232.jpg
2233.jpg,dew,./dataset/dew/2233.jpg
2234.jpg,dew,./dataset/dew/2234.jpg
2235.jpg,dew,./dataset/dew/2235.jpg
2236.jpg,dew,./dataset/dew/2236.jpg
2237.jpg,dew,./dataset/dew/2237.jpg
2238.jpg,dew,./dataset/dew/2238.jpg
2239.jpg,dew,./dataset/dew/2239.jpg
2240.jpg,dew,./dataset/dew/2240.jpg
2241.jpg,dew,./dataset/dew/2241.jpg
2242.jpg,dew,./dataset/dew/2242.jpg
2243.jpg,dew,./dataset/dew/2243.jpg
2244.jpg,dew,./dataset/dew/2244.jpg
2245.jpg,dew,./dataset/dew/2245.jpg
2246.jpg,dew,./dataset/dew/2246.jpg
2247.jpg,dew,./dataset/dew/2247.jpg
2248.jpg,dew,./dataset/dew/2248.jpg
2249.jpg,dew,./dataset/dew/2249.jpg
2250.jpg,dew,./dataset/dew/2250.jpg
2251.jpg,dew,./dataset/dew/2251.jpg
2252.jpg,dew,./dataset/dew/2252.jpg
